NewDiskID,median
2,34984.2
17,57954.10344827586
22,66936.0
24,64128.0
48,76728.66666666667
49,70489.8
51,77675.53333333334
55,41874.22222222222
61,82648.75
66,48128.0
68,63197.969696969696
69,47153.5
71,82374.5
74,73075.0
81,59557.0
83,45601.51851851852
91,66620.61111111111
92,78615.40909090909
93,44765.333333333336
94,142811.0
96,50031.07692307692
103,90994.0
126,28221.9
127,45000.0
148,65947.33333333333
156,58116.77777777778
232,31968.61111111111
267,90067.4705882353
271,45387.5
276,79735.7
282,21601.870967741936
284,17858.0
289,98267.0
293,22225.666666666668
303,90094.54545454546
315,66546.0
319,44679.066666666666
326,82553.09756097561
328,63309.555555555555
336,83600.15
348,22841.0
358,53334.0
362,34569.89473684211
364,82112.41666666667
377,86583.00167785234
383,51779.1320754717
384,68085.88235294117
398,17219.875
404,87339.0
407,26202.25
409,29116.833333333332
424,30934.032786885247
425,88612.33333333333
426,86063.01801801802
429,27719.0
430,52632.0
470,52886.8
482,152273.0
489,42562.5
490,80509.0
495,24395.75
502,65236.0
514,19643.0
541,20455.125
543,65547.84444444445
545,40310.51162790698
546,45213.0
558,44336.41379310345
559,30102.5
560,69002.6
561,56868.166666666664
571,22507.68181818182
572,49857.375
580,37920.066666666666
582,39956.49514563107
583,41758.0
589,19669.0
590,64584.35227272727
595,34799.574468085106
601,32266.5
604,32792.84782608696
606,60710.80185758514
611,119905.0
619,83367.24
621,173273.0
623,138614.0
624,135640.25
627,86207.0
629,123905.0
630,128206.0
634,104729.0
635,150000.0
646,67574.0
688,94026.0
689,124901.0
693,72464.33333333333
695,82316.0
699,87504.0
700,54847.0
703,110985.36363636363
709,56461.25
710,93210.33333333333
711,56731.0
712,44364.5
713,49832.0
716,52894.86301369863
717,89141.0
720,59070.666666666664
721,52500.0
722,54389.0
723,67416.0
724,65448.36363636364
725,66119.5
738,39137.45812807882
741,29399.5
766,35070.0
772,37821.0
800,105369.0
815,39703.22727272727
816,58674.083333333336
818,52669.72222222222
859,64616.0
868,57433.0
893,60655.0
896,83658.0
910,28841.5
936,28133.684210526317
991,21782.333333333332
1009,71453.0
1027,72919.27777777778
1065,65000.0
1122,40159.0
1129,44505.28888888889
1134,34771.4
1140,68659.44
1141,102431.0
1156,63746.0
1157,88182.0
1159,35942.5
1162,36498.666666666664
1174,117955.0
1186,27270.5
1198,38018.0
1202,108600.2
1217,30524.0
1227,104784.0
1399,136187.0
1402,91382.0
1431,109091.0
1436,50939.5
1440,57920.21428571428
1444,68315.0
1454,73261.0
1477,28000.0
1481,50550.967741935485
1482,59060.0
1486,48319.20238095238
1488,68832.76923076923
1489,54395.5
1491,46191.480769230766
1496,83610.23076923077
1497,32512.5
1498,40355.5
1526,49414.02105263158
1537,55957.0
1551,37765.26315789474
1588,68824.375
1607,38495.6875
1628,84985.88888888889
1629,96108.42857142857
1637,58796.72093023256
1644,86508.0
1652,49472.5
1655,52496.0
1657,56755.77777777778
1673,64028.0
1674,70371.0
1675,68892.2
1683,70028.0
1684,71050.91666666667
1686,61448.333333333336
1689,48637.666666666664
1691,61250.0
1698,77062.83333333333
1699,60966.1
1704,60622.0
1709,59393.0
1711,66251.66666666667
1716,87930.61363636363
1723,55411.38888888889
1724,55898.4
1725,53751.914893617024
1728,83051.0
1730,81813.18181818182
1743,67254.0
1747,53700.02597402597
1748,68315.45454545454
1753,36385.8
1755,34533.333333333336
1756,32418.0
1762,48656.94117647059
1768,62377.09448818897
1770,51138.0
1771,52010.65
1772,56698.41111111111
1777,61862.0
1784,64433.0
1787,50280.1875
1789,63534.75
1792,72223.0
1796,47936.03846153846
1798,59592.4
1805,48535.0
1806,46881.5
1811,54067.0
1818,47749.8
1819,60580.35294117647
1820,53153.5
1822,50816.17857142857
1824,43880.86842105263
1826,41818.80952380953
1828,58257.5
1830,61267.790322580644
1831,63691.653846153844
1834,63105.64705882353
1855,81920.63157894737
1858,67145.45652173914
1861,85188.0
1863,72215.4
1866,16286.0
1868,23089.69230769231
1870,36407.4
1877,68868.5
1878,76823.0
1879,73859.25
1880,93969.8
1882,48364.0
1883,69684.28571428571
1886,79968.0
1887,84094.0
1896,52344.0
1903,47808.375
1904,55211.0
1907,85494.0
1908,143554.0
1918,83736.0
1921,80655.14285714286
1922,72899.55555555556
1923,63766.0
1926,67539.0
1927,72224.0
1928,61233.954545454544
1929,84127.0
1933,67702.28571428571
1935,62226.94117647059
1936,80219.73484848485
1937,76052.33802816902
1941,61278.705882352944
1945,59030.333333333336
1947,41758.53846153846
1948,48134.0
1950,42564.43859649123
1953,33391.291666666664
1970,66287.0
1971,59481.5
1972,59110.25
1973,59344.52631578947
1974,73337.0
1975,51546.0
1976,63944.5
1977,63016.666666666664
1978,61691.0
1980,71742.5
1983,67536.0
1984,66228.84615384616
1985,72727.77108433735
1986,75377.61904761905
1987,76340.625
1991,71279.72972972973
1992,54442.08571428571
1993,69034.31818181818
1994,57756.82352941176
1996,37846.38
1998,79491.62626262626
2001,40522.61111111111
2002,37382.65178571428
2004,43468.333333333336
2087,59839.5
2107,25849.34375
2108,23327.544217687075
2109,45366.419642857145
2110,25047.117647058825
2111,30257.88888888889
2112,41911.762295081964
2113,25189.5
2114,52922.23809523809
2116,40757.262295081964
2117,19747.82051282051
2118,30071.321428571428
2119,21935.172413793105
2120,39530.166666666664
2121,25149.0
2124,40301.01612903226
2125,27469.0
2128,20575.666666666668
2129,39982.57142857143
2131,47114.192307692305
2132,37466.96875
2133,50036.17171717172
2134,38671.072289156626
2135,28799.75
2136,38817.5
2137,47033.620689655174
2139,41408.0
2140,46222.0
2141,66223.67441860466
2144,112159.5
2148,109094.0
2149,87013.75
2150,122388.66666666667
2151,113539.0
2152,102557.0
2154,130719.0
2155,93279.26315789473
2159,61700.2
2163,117344.0
2164,91746.75
2168,77115.07407407407
2170,111028.0
2171,77860.0
2174,84374.55555555556
2175,106867.0
2180,114794.75
2184,69687.0
2185,96279.66666666667
2189,131752.25
2190,104132.6
2193,55532.0
2196,51819.0
2198,59774.125
2201,48742.0
2202,34771.4
2206,53439.0
2209,49063.666666666664
2211,96015.0
2212,50918.42857142857
2215,53489.0
2216,126012.75
2219,65164.833333333336
2220,58915.25
2221,61984.666666666664
2224,79801.0
2227,93747.33333333333
2228,55173.0
2229,58694.0
2231,68291.0
2233,62771.0
2237,50817.454545454544
2241,55471.25
2242,65000.0
2243,63935.0
2244,84280.5
2245,67461.0
2246,36076.0
2249,75219.24193548386
2253,17196.0
2257,64734.0
2258,66521.0
2260,62935.0
2262,124181.91666666667
2264,59955.0
2272,49537.07692307692
2273,79622.0
2274,61104.5
2277,64044.0
2279,54632.0
2282,58167.25
2285,105000.0
2288,59207.0
2290,48102.0
2293,68288.0
2295,53220.5
2299,68780.0
2303,57852.0
2306,85542.2
2311,72293.0
2317,47292.833333333336
2319,52089.75
2320,56761.04347826087
2322,63490.73333333333
2327,18966.0
2328,52746.333333333336
2335,61600.6
2336,65000.0
2337,36400.5
2338,22069.0
2339,28704.0
2340,26985.0
2341,26191.8
2342,65409.857142857145
2343,47720.666666666664
2348,69959.0
2349,30207.0
2350,72728.0
2351,69124.44444444444
2353,65443.0
2354,49091.5
2355,93532.38461538461
2356,70196.28571428571
2357,46542.0
2358,32531.5
2362,72605.0
2364,90160.5
2365,31863.5
2366,27303.125
2367,16667.0
2369,50000.0
2370,79331.0
2371,28294.954545454544
2373,67500.0
2377,74357.0
2380,52424.0
2382,69578.125
2384,62306.53846153846
2386,35776.5
2387,63362.8
2389,104508.33333333333
2392,58873.75
2393,73040.0
2396,58857.22222222222
2397,61899.12
2398,52247.666666666664
2399,57094.0
2400,62516.666666666664
2402,69833.8
2404,138386.16666666666
2408,23810.0
2410,59826.375
2411,56873.92307692308
2412,101852.0
2414,95657.0
2415,68724.0
2417,58119.25
2426,58334.0
2428,77973.0
2429,68794.875
2430,19023.666666666668
2431,30248.083333333332
2434,64582.0
2435,34423.75
2440,64790.0
2441,67745.4
2447,73422.0
2450,58560.25
2451,43497.75
2452,44546.0
2456,69134.33333333333
2457,51667.0
2460,101671.14285714286
2461,52565.25
2462,67119.0
2465,91686.75
2471,66230.66666666667
2476,50398.53333333333
2477,46471.0
2479,60285.2
2480,39661.0
2486,106687.2
2487,70039.0
2488,17755.0
2489,22629.5
2491,66280.6
2493,66537.33333333333
2494,100280.61538461539
2495,16334.0
2498,29200.875
2499,30578.565217391304
2502,61928.0
2507,56571.0
2511,50702.0
2513,100042.66666666667
2514,35054.0
2515,42308.0
2516,55436.0
2517,57513.9
2518,56875.333333333336
2523,64582.35294117647
2526,67507.33333333333
2527,58605.0
2532,59010.333333333336
2534,67577.7027027027
2535,33603.78571428572
2536,61145.75
2538,67149.0
2539,53800.0
2542,57754.0
2543,123497.8
2551,59929.0
2552,54734.0
2553,43913.357142857145
2559,70371.0
2560,35342.5
2561,21360.0
2563,78282.0
2567,68382.0
2568,28453.89393939394
2570,75759.0
2571,59667.833333333336
2572,68849.82352941176
2574,69539.25
2578,68033.0
2581,39856.0
2582,74926.0
2586,53837.666666666664
2587,70017.0
2588,49123.0
2590,54810.5
2591,31747.0
2592,21569.2
2594,66948.0
2595,81357.57142857143
2596,73113.0
2597,108036.0
2600,59241.9375
2602,51186.75
2604,55715.0
2605,63014.0
2606,74146.0
2608,64258.333333333336
2611,84704.33333333333
2612,66355.57142857143
2614,56255.5
2615,64362.42857142857
2617,38792.333333333336
2618,53153.25
2622,64000.0
2624,17006.076923076922
2625,85992.85294117648
2627,59632.0
2630,71048.0
2631,35649.0
2632,17768.0
2634,70109.03333333334
2635,92212.0
2637,111276.0
2638,65753.31428571428
2641,67791.0
2642,51552.529411764706
2643,49781.5
2644,62060.333333333336
2645,52552.833333333336
2646,52431.181818181816
2647,91239.75
2648,64106.333333333336
2649,55844.25
2651,74336.0
2652,79804.2
2655,69187.6875
2662,57258.5
2663,68089.0
2664,66526.25
2667,71646.0
2669,88283.36904761905
2670,72968.0
2673,43727.0
2676,66366.58620689655
2679,73192.0
2683,79614.5
2684,62157.0
2688,57511.78571428572
2694,60627.0
2696,49045.38461538462
2701,32477.0
2702,52707.0
2703,57501.0
2704,75915.83333333333
2706,61984.666666666664
2707,74497.5
2710,52744.833333333336
2711,63369.0
2712,56122.0
2714,60059.666666666664
2716,60600.0
2718,69815.76923076923
2721,60730.4
2722,62879.5
2724,61076.0
2725,58656.0
2727,62343.142857142855
2728,79284.5
2730,67917.0
2732,63601.333333333336
2733,71949.0
2734,54833.846153846156
2735,52760.0
2736,33334.0
2737,49896.73333333333
2740,61210.0
2743,65093.72
2744,60802.125
2746,54948.307692307695
2748,72210.09090909091
2749,44445.0
2756,39528.0
2758,57014.0
2763,46297.0
2764,46559.375
2765,48255.281690140844
2766,59761.5
2768,85738.4
2770,65518.0
2771,83702.5
2773,81408.125
2774,52239.0
2776,64371.57142857143
2777,71225.0
2778,39669.0
2779,29219.21875
2781,30958.0
2782,96990.57142857143
2785,83830.0
2787,58122.0
2789,62353.0
2790,69492.0
2791,57537.07142857143
2792,76963.0
2793,53334.0
2795,51580.6
2797,50758.0
2798,41737.0
2799,33052.8
2800,33121.555555555555
2801,101178.0
2802,44040.5
2803,39500.0
2807,65240.22222222222
2808,54998.666666666664
2810,28226.0
2811,65127.0
2815,62418.0
2816,90810.16071428571
2817,64406.36363636364
2818,40224.0
2820,91388.0
2821,61531.125
2824,61184.0
2827,66311.19230769231
2828,80449.28571428571
2830,49939.5
2831,56986.333333333336
2832,60729.0
2834,53512.666666666664
2835,62506.25
2836,67033.1724137931
2837,72945.37931034483
2839,54392.5
2841,63363.91428571429
2842,67566.57142857143
2843,30225.428571428572
2844,88352.0
2845,113634.4
2846,62271.0
2849,70150.5
2859,39281.0
2860,70263.71428571429
2863,83642.0
2868,44831.75
2869,55874.666666666664
2870,49848.5
2871,57928.26470588235
2872,55326.0
2880,16000.0
2882,74119.66666666667
2885,31094.666666666668
2886,84445.51485148515
2888,79241.0
2889,52566.75
2894,51353.4375
2896,33444.5
2899,64864.6
2900,62222.0
2902,74408.5
2904,41672.857142857145
2905,77073.66666666667
2906,54051.42857142857
2914,46754.0
2916,55951.0
2919,55921.8
2921,58754.5
2922,62686.454545454544
2929,48122.875
2930,53876.5
2931,56679.625
2932,25081.0
2935,90635.87254901961
2936,83541.0
2937,79972.77777777778
2938,85493.0
2939,73414.0
2940,89567.78571428571
2944,63273.769230769234
2945,74361.84615384616
2948,68324.84615384616
